,URL,Content_title,Contents,Sentiment
0,https://www.footballaddrict.com/2022/05/02/%e0%b9%80%e0%b8%84%e0%b8%a7%e0%b8%b4%e0%b8%99-%e0%b9%81%e0%b8%84%e0%b8%a1%e0%b8%9b%e0%b9%8c%e0%b9%80%e0%b8%9a%e0%b8%a5%e0%b8%a5%e0%b9%8c/,เควิน แคมป์เบลล์ ชี้ นิโกลัส เปเป้ อาจหมดอนาคตกับปืนใหญ่หลังผลงานห่วย,เควิน แคมป์เบลล์ ดาวเตะวัย 25 ปี ย้ายมาอยู่ในเอมิเรสต์ สเตเดี้ยม ด้วยค่าตัวเป็นสถิติสโมสรถึง 72 ล้านปอนด์เมื่อปี 2019 แต่กลับโชว์ฟอร์มได้ไม่สมค่าตัวนักตลอด 2 ฤดูกาลที่ผ่านมาจนกลายเป็นเป้าวิจารณ์และตกเป็นข่าวย้ายทีมต่อเนื่อง ทางด้านอดีตแข้งของทีมอย่าง แคมป์เบลล์ เองก็เชื่อว่านักเตะหมดอนาคตกับทีมไปแล้ว “มันไม่เวิร์คเลย ง่ายๆแค่นั้นแหละ แน่นอนว่าเขาเป็นนักเตะที่มีพรสวรรค์แต่มันไม่เวิร์คสำหรับเขา” แคมป์เบลล์ กล่าวกับFootball Insider “คุณคงเห็นระดับความจริงจังและโฟกัสที่ มิเกล อาร์เตต้า ต้องการให้ทีมของเขาเล่น และผมไม่คิดว่า เปเป้ จะเหมาะกับอะไรแบบนี้ เขาเป็นพวกไม่นิ่ง เขาจะมีสมาธิได้พักเดียวแล้วก็หลุดไปอีกครั้ง” “ผมเคยบอกก่อน คริสต์มาส แล้วว่ามันจะเป็นช่วงหลายเดือนที่สำคัญของ เปเป้ เพื่อตัดสินว่าเขาจะมีอนาคตกับ อาร์เซน่อล หรือไม่ แล้วก็อย่างที่เห็นเขาไม่มีอนาคตกับทีมแล้ว”   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,negative
1,https://www.footballaddrict.com/2022/05/02/%e0%b9%80%e0%b8%a1%e0%b8%a1%e0%b8%9f%e0%b8%b4%e0%b8%aa-%e0%b9%80%e0%b8%94%e0%b8%9b%e0%b8%b2%e0%b8%a2/,เมมฟิส เดปาย เผย ยังต้องการอยู่กับบาร์ซ่าอีกยาวๆ อีกหลายปี,เมมฟิส เดปาย แข้งวัย 28 ย้ายจาก โอลิมปิก ลียง มายังถิ่น คัมป์นู แบบไร้ค่าตัวเมื่อช่วงซัมเมอร์ปีที่แล้ว และโชว์ฟอร์มได้โดดเด่นในช่วงแรกก่อนจะโชคร้ายได้รับบาดเจ็บและพักยาวหลายเดือน ขณะเดียวกันทีมของเขาเสริมแนวรุกเข้ามาหลายรายในช่วงหน้าหนาวจนสถานะของเขาเริ่มไม่แน่นอน ในขณะที่ยังเหลือสัญญากับทีมถึงแค่ปี 2023 และเริ่มมีข่าวกับหลายทีมทั่วยุโรป แต่เจ้าตัวยืนยันว่าเขายังอยากค้าแข้งให้ทีมต่อไป “ผมมาที่นี่และอยากจะลงเล่นให้กับทีม ผมอยากเป็นคนสำคัญของทีมในปีหน้าและอีกหลายปีหลังจากนี้” เดปาย กล่าว “มันเป็นเรื่องปกติที่ผมจะได้เจอกับการแข่งขันแย่งตำแหน่งที่ บาร์เซโลน่า เพราะผมเล่นให้ทีมที่ดีที่สุดในโลก”   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,
2,https://www.footballaddrict.com/2022/05/02/calvin-ramsey/,calvin ramsey นักเตะดาวรุ่งฟอร์มแรงตกเป็นข่าวกับลิเวอร์พูล,calvin ramseyนักข่าวสายหงส์ของ เดลี่ เมลล์ รายงานว่า ลิเวอร์พูล ลิสต์ชื่อ คัลวิน แรมซี่ย์ แบ็คขวาวัย 18 ของ อเบอร์ดีน มาคอยช่วยแบ่งเบาภาระงานของ เทรนต์ อเล็กซานเดอร์-อาร์โนลด์ โดย The Sun สื่อแท็บลอยด์แห่งอังกฤษ คาดว่าดาวเตะชาวสก็อตแลนด์จะมีค่าตัวเพียงราว ๆ ที่ 3 ล้านปอนด์ และนอกจากหงส์แดงแล้ว เขายังได้รับความสนใจจาก ลีดส์ ด้วย โดย คัลวิน แรมซี่ย์ ได้ลงสนามในฤดูกาลนี้ไปทั้งหมด 33 นัดรวมทุกรายการ ทำได้ 9 แอสซิสต์ กับ 1 ประตู  สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,neutral
3,https://www.footballaddrict.com/2022/05/01/%e0%b8%9c%e0%b8%b5%e0%b8%a2%e0%b8%ad%e0%b8%a1%e0%b8%97%e0%b8%b8%e0%b9%88%e0%b8%a1%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%99-%e0%b8%9c%e0%b8%b5%e0%b9%81%e0%b8%94%e0%b8%87%e0%b8%a2%e0%b8%ad%e0%b8%a1%e0%b8%97/,ผียอมทุ่มเงิน ผีแดงยอมทุ่มเงินเพื่อยกเลิกสัญญา Anthony Martial,ผียอมทุ่มเงินแมนเชสเตอร์ ยูไนเต็ด กำลังตกเป็นข่าวอย่างหนักว่า อาจจะยอมจ่ายเงินชดเชยถึง 12 ล้านปอนด์ ในช่วงซัมเมอร์นี้เพื่อปล่อยตัว อองโตนี่ มาร์กซิยาล ออกจากทีม กองหน้าทีมชาติฝรั่งเศสถูกปล่อยให้ เซบีย่า ยืมตัวใช้งานอยู่ในขณะนี้ แต่ทาง ‘ปีศาจแดง’ ยังต้องจ่ายค่าเหนื่อย 60 เปอร์เซ็นต์ที่เจ้าตัวรับอยู่ 2.4 แสนปอนด์ต่อสัปดาห์ อย่างไรก็ตาม เจ้าตัวมีปัญหาเรื่องอาการบาดเจ็บ โดยได้ลงเล่นในลา ลีกา สเปนเพียง 8 เกมเท่านั้นนับตั้งแต่ย้ายไปเล่นเมื่อเดือนมกราคมที่ผ่านมา และยังทำประตูในลีกไม่ได้เลย ทำให้สโมสรจากสเปนไม่สนใจซื้อขาดไปร่วมทีมค่อนข้างสูง  สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,negative
4,https://www.footballaddrict.com/2022/04/28/%e0%b8%ad%e0%b8%b8%e0%b8%aa%e0%b8%a1%e0%b8%b2%e0%b8%99-%e0%b9%80%e0%b8%94%e0%b9%87%e0%b8%a1%e0%b9%80%e0%b8%9a%e0%b9%80%e0%b8%a5%e0%b9%88-2/,อุสมาน เด็มเบเล่ ไม่ทิ้งบาร์ซ่าแน่ พร้อมลดค่าเหนื่อยตัวเอง หวังได้อยู่ทีมต่อ,อุสมาน เด็มเบเล่ เมื่อต้นปีที่ผ่านมา เกิดดราม่าของปีกเฟร้นช์แมนที่ไม่ยอมขยายสัญญาที่จะหมดลงในช่วงซัมเมอร์นี้ เนื่องจากไม่พอใจเรื่องค่าเหนื่อยระหว่างที่สโมสรกำลังถังแตก อย่างไรก็ดี ภายหลัง ชาบี เอร์นานเดซ เข้ามารับตำแหน่งกุนซือ เด็มเบเล่ ก็ปรับเปลี่ยนทัศนคติและกลายเป็นนักเตะสำคัญที่ได้โอกาสลงสนามอย่างต่อเนื่อง รายงานอ้างว่า เด็มเบเล่ ไม่เพียงเตรียมพร้อมขออยู่กับ “ต่างดาว” ต่อไปเท่านั้น แต่ยังต้องการลดค่าเหนื่อยลงเพื่อสโมสรอีกต่างหาก และพร้อมที่จะยอมรับค่าเหนื่อยน้อยกว่าที่สโมสรอื่นยื่นมาให้พิจารณาด้วย กระนั้น นั่นก็ไม่ได้หมายความว่า สตาร์ชาวน้ำหอม จะอยู่ในถิ่นคัมป์ นูต่อไปอย่างแน่นอน เพราะบาร์ซ่า มีงบประมาณจำกัดจำเขี่ยเหลือเกินในเวลานี้  สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,negative
5,https://www.footballaddrict.com/2022/04/28/%e0%b8%a5%e0%b8%b4%e0%b9%80%e0%b8%a7%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%9e%e0%b8%b9%e0%b8%a5-%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b9%80%e0%b8%9f%e0%b8%b4%e0%b8%a3%e0%b9%8c%e0%b8%a1/,ลิเวอร์พูล คอนเฟิร์ม เมียสั่งมา หงส์ประกาศคล็อปป์ ต่อสัญญาถึง 2026,"ลิเวอร์พูล คอนเฟิร์ม สัญญาเดิมของ คล็อปป์ นั้นยาวไปจนถึงปี 2024 และก่อนหน้านี้ก็มีความเป็นกังวลว่าพอครบสัญญาแล้วเขาจะโบกมือลาจากสโมสรไป ถึงอย่างนั้นมีรายงานเกิดขึ้นในวันพฤหัสบดีว่า ลิเวอร์พูล เปิดฉากการเจรจาสัญญาใหม่กับกุนซือชาวเยอรมันและทุกอย่างก็เสร็จสิ้นอย่างรวดเร็ว ลิเวอร์พูล ก็ไม่รอช้าทำการยืนยันอย่างเป็นทางการแล้วโดย คล็อปป์ จะอยู่กับสโมสรเพิ่มออกไปจนถึงปี 2026 เป๊ป ลินเดอร์ส กับ พีท คราเวียตซ์ สองผู้ช่วยของเขายังได้ต่อสัญญาเพิ่มกับ ลิเวอร์พูล ไปเช่นเดียวกัน คล็อปป์ กล่าวถึงการต่อสัญญาผ่านเว็บไซต์สโมสรว่า “มีหลายคำที่ผมใช้อธิบายความรู้สึกที่มีต่อข่าวนี้ได้นะ… คงต้องเริ่มด้วยคำว่ายินดี, นอบน้อม, มีความสุข, เป็นเกียรติและตื่นเต้น” “มีหลายสิ่งมากมายที่น่าหลงใหลในสโมสรนี้ ผมรู้ตั้งแต่ก่อนผมเข้าอยู่กับสโมสรนี้, ผมรู้ดียิ่งขึ้นหลังจากผมย้ายเข้ามาและตอนนี้ผมรู้ดียิ่งกว่าที่เคย” “ก็เหมือนกับความสัมพันธ์ที่ดีของคนอื่นๆนั่นแหละ จะต้องมีทั้งให้และรับ, คุณต้องเหมาะสมต่อกันและกัน ความรู้สึกว่าเราเหมาะสมกันสุดๆคือสิ่งที่ทำให้ผมมาอยู่ตรงนี้ตั้งแต่แรก เพราะอย่างนั้นผมถึงต่อสัญญาไปในหนที่แล้ว” “หนนี้ต่างออกไปนะเพราะระยะเวลาที่เราอยู่ร่วมกันมา ผมต้องถามตัวเองว่าการอยู่กับ ลิเวอร์พูล ไปยาวนานกว่านี้มันเหมาะสมรึเปล่า?” ผมกับ เป๊ป ลินเดอร์ส และ พีท คราเวียตซ์ สองผู้ช่วยของผม เราได้ข้อสรุปร่วมกันว่า ‘ใช่!’ “สโมสรยังมีความรู้สึกสดใหม่อยู่และนี่ก็เป็นตัวกระตุ้นผม ตลอดช่วงเวลาที่ผมอยู่กับทีมมา, เจ้าของทีมของเราก็ทุ่มเทให้อย่างไม่น่าเชื่อและกระตือรือร้นต่อสโมสรนี้ นี่เป็นสิ่งที่ชัดเจนว่าเรื่องนี้มีผลต่ออนาคตของเราจนถึงตอนนี้” อนึ่ง คล็อปป์ ยังเปิดเผยเพิ่มเติมในคลิปด้านล่างด้วยว่าหนึ่งในสาเหตุที่อยู่กับ ลิเวอร์พูล ต่อเป็นเพราะภรรยาอยากอยู่ที่นี่ “ผมจะอยู่เพิ่มออกไปอีก 2 ปี และไม่ใช่แค่ผมนะ! ไม่ใช่แค่ผม! โค้ชของผมทุกคนก็ด้วยซึ่งเป็นสิ่งที่สำคัญที่สุดแล้วล่ะ” “‘ทำไม’ คือคำถามในตอนนนี้… เพราะ อูลล่า อยากอยู่ต่อ! ในฐานะคนเป็นสามีที่ดี, คุณจะทำยังไงเมื่อภรรยาอยากอยู่ต่อ? คุณก็อยู่ต่อ นั่นไม่ใช่เหตุผลเดียวแต่เป็นหนึ่งในเหตุผล” คล็อปป์ เข้ามาเป็นกุนซือของ ลิเวอร์พูล ตั้งแต่เดือนตุลาคม 2015 และผ่านการพาทีมคว้าแชมเปี้ยนส์ลีกได้ ตามด้วยซูเปอร์ คัพและแชมป์สโมสรโลก ก่อนจะยุติการรอคอยคว้าแชมป์พรีเมียร์ลีกสำเร็จ ซีซั่นนี้เขาผ่านการพา ลิเวอร์พูล คว้าแชมป์คาราบาว คัพมาแล้ว รวมถึงยังมีลุ้นแชมป์ลีกโดยตามหลัง แมนเชสเตอร์ ซิตี้ แต้มเดียว, เข้าชิงเอฟเอ คัพและมีลุ้นที่จะเข้าถึงรอบชิงแชมเปี้ยนส์ลีกอีกครั้ง   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ",neutral
6,https://www.footballaddrict.com/2022/04/28/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%a1%e0%b8%b1%e0%b9%88%e0%b8%a7%e0%b8%97%e0%b8%b3%e0%b8%aa%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%9a/,ข่าวมั่วทำสื่อเงิบ ไรโอล่ ยันเองผ่านทวิตส่วนตัวว่า กูยังไม่ตาย หลังมีข่าวบอกตาย,ข่าวมั่วทำสื่อเงิบ เรื่องราวทั้งหมดทั้งมวลกลายเป็นข่าวใหญ่โตเพราะTg La7สื่อในอิตาลีเป็นเจ้าแรกที่รายงานออกมาว่า ไรโอล่า เสียชีวิตลงแล้ว สำนักข่าวใหญ่ๆในอิตาลีเลยพากันรายงานตามมา นั่นทำให้หลายสื่อในต่างแดนพากันรายงานตามไปว่าเรื่องดังกล่าวเป็นจริง บางเจ้าถึงกับมีการโพสต์ไว้อาลัยไปแล้ว อย่างไรก็ตามการเสียชีวิตของ ไรโอล่า ไม่เคยเป็นการยืนยันจากทางเอเยนซี่ของเขา และทางครอบครัวก็ไม่เคยพูดถึงเรื่องนี้ แล้วไม่นานหลังจากนั้นมือขวาของเขาได้เปิดเผยกับNOSโดยปฏิเสธเรื่องดังกล่าวและบอกว่า “เขาอยู่ในอาการที่ไม่ดี แต่เขายังไม่เสียชีวิต” อัลแบร์โต้ ซานกริลโล่ แพทย์ในโรงพยาบาลที่มิลานก็บอกกับANSAถึงอาการของ ไรโอล่า ว่า “ผมตะลึงกับการติดต่อจากนักข่าวจอมปลอมที่คาดเดาชีวิตของคนที่กำลังสู้เพื่อความอยู่รอดกันไปเอง” ล่าสุด ไรโอล่า ทวิตผ่านแอคเคาน์ของตัวเองว่า “สำหรับคนที่ข้องใจสุขภาพของผมในเวลานี้: โมโหชิบหายที่พวกเขาฆ่าผมเป็นหนที่สองในรอบ 4 เดือน ดูเหมือนว่าจะฟื้นคืนชีพได้ด้วย” ส่วนในรายของTg La7ที่ปล่อยข่าวนี้เป็นรายแรกก็กลบเกลื่อนความผิดลบข่าวทิ้งออกจากทวิตเตอร์และเว็บไซต์ของพวกเขา   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,neutral
7,https://www.footballaddrict.com/2022/04/27/%e0%b8%94%e0%b8%a3%e0%b8%b5%e0%b8%aa%e0%b9%8c-%e0%b9%80%e0%b8%a1%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b9%80%e0%b8%97%e0%b9%88%e0%b8%99%e0%b8%aa%e0%b9%8c/,ดรีส์ เมอร์เท่นส์ ยอมลดค่าเหนื่อยเกินครึ่ง เพื่อต่อสัญญากับนาโปลี,ดรีส์ เมอร์เท่นส์ แข้งวัย 34 ปี เจ้าของสถิติดาวยิงสูงสุดในประวัติศาสตร์ของทัพ “อัซซูร่า” ที่ 146 ประูถือเป็นคนสำคัญของทีมมายาวนานตั้งแต่ย้ายจาก พีเอสวี มาร่วมทีมเมื่อปี 2013 ในขณะที่สัญญาของเขาเหลือกับทีมจนจบซีซั่นนี้ ล่าสุดจากรายงานของCorriere dello Sportเผยว่านักเตะเตรียมจะขยายสัญญากับทีมหลังจากได้พูดคุยกับ ออเรลิโอ้ เด ลอเรนติส ประธานสโมสร ที่บ้านพักของเขาเอง โดยนักเตะจะต่อสัญญาไปจนถึงปี 2024 และยอมลดค่าเหนื่อยจากเดิมที่รับอยู่ 4.5 ล้านยูโรต่อปี เหลือเพียง 1.2 ล้านยูโร พร้อมโบนัสเพิ่มเติม   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,positive
8,https://www.footballaddrict.com/2022/04/26/%e0%b8%a2%e0%b8%ad%e0%b8%aa%e0%b9%82%e0%b8%81%e0%b9%89-%e0%b8%81%e0%b8%a7%e0%b8%b2%e0%b8%a3%e0%b9%8c%e0%b8%94%e0%b8%b4%e0%b9%82%e0%b8%ad%e0%b8%a5/,ยอสโก้ กวาร์ดิโอล ทูเคิลถูกใจ หวังดึงแทนกองหลังที่พึ่งจะเสียไปอย่าง รูดิเกอร์,ยอสโก้ กวาร์ดิโอล ตลาดซัมเมอร์นี้ “สิงห์บลูส์” ต้องการเสริมผู้เล่นเกมรับ หลังจากเป็นที่แน่นอนว่า อันโตนิโอ รูดิเกอร์ จะไม่ต่อสัญญา และมีข่าวว่าเขาเตรียมโยกไปร่วมทีมเรอัล มาดริด รวมถึง อันเดรส คริสเตนเซ่น ที่ก็เป็นข่าวว่าเตรียมย้ายฟรีไปร่วมทีมบาร์เซโลน่า โฟลเรียน เพลตเตนแบร์ก นักข่าวดังของสกายเยอรมนีระบุว่าหนึ่งในตัวเลือกที่เชลซีสนใจคือ กวาร์ดิโอล ดาวรุ่งทีมชาติโครเอเชียจากไลป์ซิก รายงานเสริมว่า ทูเคิล เป็นแฟนตัวยงของแข้งวัย 20 ปี และมองว่าเขามีศักยภาพที่จะเข้าไปทดแทนการหายไปของ รูดิเกอร์ อย่างไรก็ตาม กวาร์ดิโอล เหลือสัญญากับไลป์ซิกถึงปี 2026 และไม่มีเงื่อนไขฉีก ขณะเดียวกันเชลซีก็ยังไม่ได้มีมีการทาบทามอย่างเป็นทางการแต่อย่างใด กวาร์ดิโอล เป็นตัวหลักของไลป์ซิกในฤดูกาลนี้ โดยลงเล่นไปถึง 42 นัดทุกรายการ ก่อนหน้านี้เขาตกเป็นข่าวกับท็อตแน่ม ฮ็อตสเปอร์ด้วย   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,positive
9,https://www.footballaddrict.com/2022/04/25/%e0%b9%82%e0%b8%a1%e0%b8%ae%e0%b8%b2%e0%b9%80%e0%b8%ab%e0%b8%a1%e0%b9%87%e0%b8%94-%e0%b9%80%e0%b8%ad%e0%b8%a5%e0%b9%80%e0%b8%99%e0%b8%99%e0%b8%b5%e0%b9%88/,โมฮาเหม็ด เอลเนนี่ เผยพร้อมขยายสัญญากับ “ปืนใหญ่” แม้ได้ลงน้อยก็ตาม,โมฮาเหม็ด เอลเนนี่ แข้งทีมชาติอียิปต์วัย 29 ปี เหลือสัญญากับ “ปืนใหญ่” ถึงซัมเมอร์นี้เท่านั้น ฤดูกาลนี้เขาได้ลงเล่นในพรีเมียร์ลีกแค่ 9 นัด ตัวจริง 3 นัด แม้จะได้โอกาสลงสนามไม่มากแต่ เอลเนนี่ บอกว่าตนพร้อมต่อสัญญาอยู่กับทีมต่อไป “แน่นอน(เขามีความสุขที่จะอยู่อาร์เซนอล)” “ผมชอบความท้าทายและทำเต็มที่ร้อยเปอร์เซนต์ทุกครั้ง ผมไม่ได้เป็นคนตัดสินใจว่าจะได้ลงเล่นหรือไม่ แต่ผมพยายามซ้อมและพิสูจน์ให้เห็นว่าผมมีดีอย่างไร และทำให้เขา(อาร์เตต้า)เลือกผมเล่น” “ถ้าผมไม่ได้เล่น ผมก็จะพยายามต่อไปจนกว่าจะได้โอกาส” “ถ้าอาร์เซนอลบอกว่า -เราต้องการคุณ- ผมจะไม่คิดเรื่องการย้ายทีมเลย นี่คือครอบครัวของผมมาตลอด 6 ปี ผมรักสโมสรแห่งนี้” เขากล่าว อาร์เซนอลคว้าตัว เอลเนนี่ จากบาเซิลเมื่อปี 2016 ตลอดช่วง 6 ปีที่ผ่านมาเขาลงสนามช่วยทีมไป 142 นัดทุกรายการ   สนับสนุนโดย@vv123 อ่านต่อได้ที่ข่าวฟุตบอล ,positive
